地域,ホテル名,評価,評価件数,料金,食事,チェックイン,部屋,プラン,詳細
兵庫県 淡路,淡路島天然温泉東浦サンパーク,3.6,7,3700円 / 名,食事なし,16:00,ひろびろ和室18畳(バスなし)☆大浴場で温泉入浴OK,【ネット限定】和室18畳ひろびろ素泊まりプラン☆美肌温泉の利用可♪【駐車場無料】,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI0NTg0MTYsMzc4NDg0LDAzOTg3MjksLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 洲本,ビーチリゾート　シーアイガ海月,3.7,24,3850円 / 名,食事なし,16:00,和室15畳（トイレ・風呂なし☆大浴場利用）,【素泊まり】ネット限定割引☆素泊まりプラン【駐車場無料】,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDE5ODA4NjIsMzA5MzY1LDAzMzIwNzMsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 南あわじ,うずしお温泉　観潮荘,4.1,16,4200円 / 名,食事なし,16:00,鳴門海峡が望める和室（ちょっぴりグルメなお客様に）,部屋おまかせ♪レジャー　ビジネス　素泊まりプラン,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDA0NDYxNTYsMzI0MTc0LDAwNTQyNzgsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 洲本,ビーチリゾート　シーアイガ海月,3.7,24,4400円 / 名,朝のみ,16:00,和室15畳（トイレ・風呂なし☆大浴場利用）,ビジネスにうれしい☆1泊朝食付きプラン【駐車場無料】,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI0NzQ2MzMsMzA5MzY1LDAzMzIwNzMsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 淡路,淡路島天然温泉東浦サンパーク,3.6,7,4700円 / 名,食事なし,16:00,ひろびろ和室18畳(バスなし)☆大浴場で温泉入浴OK,【コンビニまで車で4分】QＵＯカード1000円分付素泊まりプラン☆美肌温泉の利用可♪,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI0ODc1NjAsMzc4NDg0LDAzOTg3MjksLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 南あわじ,サンライズ淡路,3.3,31,4900円 / 名,食事なし,15:00,ひろびろ和室17.5畳／禁煙／大浴場で温泉利用OK,【８名OK！】ひとつのお部屋で皆でわいわい泊まろう☆,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDE0NDg0MTUsMzk5MTA4LDAyNzMyOTAsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 南あわじ,活魚料理うずしお温泉　寿荘,,4,4950円 / 名,食事なし,16:00,和室,■うずしお温泉でトロリ美人肌≪セルフ≫素泊りプラン,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDAyMTg2NDQsMzE0MTMzLDAwNTM1NjQsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 洲本,ビーチリゾート　シーアイガ海月,3.7,24,4950円 / 名,食事なし,16:00,和室15畳（トイレ・風呂なし☆大浴場利用）,【平日限定】ウェルカムドリンク＆おつまみビュッフェ付きプラン【素泊まり】,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI0NzQ2ODIsMzA5MzY1LDAzMzIwNzMsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 南あわじ,活魚料理　民宿みたき,4.4,20,4950円 / 名,食事なし,16:00,和室６畳,素泊りプラン,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDAxNjU3NzQsMzQzNDQwLDAwNTUwNTYsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 淡路,淡路島天然温泉東浦サンパーク,3.6,7,5100円 / 名,食事なし,16:00,ひろびろ和室18畳(バスなし)☆大浴場で温泉入浴OK,和室18畳,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI0NjYzNjIsMzc4NDg0LDAzOTg3MjksLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 洲本,ビーチリゾート　シーアイガ海月,3.7,24,5500円 / 名,朝のみ,16:00,和室15畳（トイレ・風呂なし☆大浴場利用）,【平日限定】ウェルカムドリンク＆おつまみビュッフェ付きプラン【1泊朝食付き】,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI0NzQ2OTQsMzA5MzY1LDAzMzIwNzMsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 淡路,淡路島天然温泉東浦サンパーク,3.6,7,5750円 / 名,食事なし,16:00,ひろびろ和室18畳(バスなし)☆大浴場で温泉入浴OK,【コンビニまで車で4分】QＵＯカード2000円分付素泊まりプラン☆美肌温泉の利用可♪,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI0ODc1NjQsMzc4NDg0LDAzOTg3MjksLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 淡路,淡路島天然温泉東浦サンパーク,3.6,7,6050円 / 名,食事なし,16:00,ひろびろ和室18畳(バスなし)☆大浴場で温泉入浴OK,【ミネラルウォーター付】和室18畳ひろびろプラン☆美肌温泉の利用可♪,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI0NjY2MzYsMzc4NDg0LDAzOTg3MjksLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 淡路,栄亭,,1,5500円 / 名,夕のみ,16:00,和室,ビジネス、学生さん～平日の民宿コース～,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDEwNTg1NzcsMzExNTYzLDAwNDA4MTksLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 南あわじ,サンライズ淡路,3.3,31,6200円 / 名,朝のみ,15:00,ひろびろ和室17.5畳／禁煙／大浴場で温泉利用OK,淡路ワールドパークONOKOROチケット付☆朝食付き宿泊プラン！朝食付,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDE1NDI2NjksMzk5MTA4LDAyNzMyOTAsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 南あわじ,サンライズ淡路,3.3,31,6200円 / 名,朝のみ,15:00,ひろびろ和室17.5畳／禁煙／大浴場で温泉利用OK,イングランドの丘券付☆淡路島で遊ぼうプラン♪朝食付,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDEzNzExMzcsMzk5MTA4LDAyNzMyOTAsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 洲本,ビーチリゾート　シーアイガ海月,3.7,24,6249円 / 名,夕のみ,16:00,和室15畳（トイレ・風呂なし☆大浴場利用）,【早得28】28日以上前の予約で最大5%OFF☆浜焼きBBQ付き１泊夕食プラン（朝食なし）,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI0OTQ4NzksMzA5MzY1LDAzMzIwNzMsLCwsMSwxLDYsLCwsLCwwNCwwMg==

